Date,"Opponent1","Pts","Opponent1_Location","Opponent2","Pts",Notes
"09/03/05","Oklahoma St.","15","Away","Montana St.","10",
"09/17/05","Oklahoma St.","20","Away","Arkansas St.","10",
"09/08/05","Oklahoma St.","23","Home","Florida Atlantic","3",Miami FL
"11/12/05","Oklahoma St.","24","Away","Texas Tech","17",
"12/29/05","Oklahoma","17","Away","Oregon","14",Holiday Bowl (San Diego CA)
"10/15/05","Oklahoma","19","Home","Kansas","3",Kansas City MO
"09/10/05","Oklahoma","31","Away","Tulsa","15",
"10/29/05","Oklahoma","31","Home","Nebraska","24",
"11/12/05","Oklahoma","36","Away","Texas A&M","30",
"10/22/05","Oklahoma","37","Away","Baylor","30",
"11/26/05","Oklahoma","42","Away","Oklahoma St.","14",
"10/1/05","Oklahoma","43","Away","Kansas St.","21",
"11/05/05","Oregon St.","18","Home","Washington","10",
"10/15/05","Oregon St.","23","Home","California","20",
"09/10/05","Oregon St.","30","Away","Boise St.","27",
"09/03/05","Oregon St.","41","Away","Portland St.","14",
"10/1/05","Oregon St.","44","Away","Washington St.","33",
"11/05/05","Oregon","27","Away","California","20",
"10/22/05","Oregon","28","Home","Arizona","21",
"10/8/05","Oregon","31","Home","Arizona St.","17",
"11/12/05","Oregon","34","Home","Washington St.","31",
"09/17/05","Oregon","37","Away","Fresno St.","34",
"09/01/05","Oregon","38","Home","Houston","24",Houston TX
"10/1/05","Oregon","44","Home","Stanford","20",
"10/15/05","Oregon","45","Away","Washington","21",
"09/10/05","Oregon","47","Away","Montana","14",
"11/19/05","Oregon","56","Away","Oregon St.","14",
"10/8/05","Penn St.","17","Away","Ohio St.","10",
"09/03/05","Penn St.","23","Away","South Fla.","13",
"01/03/06","Penn St.","26","Away","Florida St.","23",Orange Bowl (Miami FL)
"11/19/05","Penn St.","31","Home","Michigan St.","22",
"10/29/05","Penn St.","33","Away","Purdue","15",
"09/24/05","Penn St.","34","Home","Northwestern","29",
"11/05/05","Penn St.","35","Away","Wisconsin","14",
"09/17/05","Penn St.","40","Away","Central Michigan","3",
"09/10/05","Penn St.","42","Away","Cincinnati","24",
"10/1/05","Penn St.","44","Away","Minnesota","14",
"10/22/05","Penn St.","63","Home","Illinois","10",
"11/12/05","Pittsburgh","24","Away","Connecticut","0",
"10/15/05","Pittsburgh","31","Away","South Fla.","17",
"10/22/05","Pittsburgh","34","Away","Syracuse","17",
"10/8/05","Pittsburgh","38","Away","Cincinnati","20",
"09/24/05","Pittsburgh","41","Away","Youngstown St.","0",
"11/05/05","Purdue","28","Away","Michigan St.","21",
"09/17/05","Purdue","31","Home","Arizona","24",
